"  SAMPLE"	"    LINE"	"Relative Dist(um)"	"   N WT%"	"   H WT%"	"  Si WT%"	"  Al WT%"	"  Cl WT%"	"   P WT%"	"  Fe WT%"	"  Mn WT%"	"  Cr WT%"	"   K WT%"	"  Ca WT%"	"  Ru WT%"	"  Na WT%"	"  Mg WT%"	"   O WT%"	"   TOTAL"	"   X-POS"	"   Y-POS"	"   Z-POS"	"   N AT%"	"   H AT%"	"  Si AT%"	"  Al AT%"	"  Cl AT%"	"   P AT%"	"  Fe AT%"	"  Mn AT%"	"  Cr AT%"	"   K AT%"	"  Ca AT%"	"  Ru AT%"	"  Na AT%"	"  Mg AT%"	"   O AT%"	" N K-RAT"	"N STD_NUM"	"N STD_NAM"
"Un    1  D2893_100nA_30um_1"	       1	       0	 .018265	 .354856	 22.1420	 7.87000	 1.01500	 .083000	 5.75600	 .245000	 .045000	 .162000	 10.1410	 .012000	 1.26100	 5.21900	 45.6759	 100.000	 .000000	 .000000	 .000000	 .000263	 .071052	 .159115	 .058869	 .005778	 .000541	 .020802	 .000900	 .000175	 .000836	 .051067	 .000024	 .011070	 .043339	 .576170	 .000074	608	"GaN"
"Un    2  D2893_100nA_30um_2"	       2	       0	 .020699	 .354582	 22.1420	 7.87000	 1.01500	 .083000	 5.75600	 .245000	 .045000	 .162000	 10.1410	 .012000	 1.26100	 5.21900	 45.6737	 100.000	 .000000	 .000000	 .000000	 .000298	 .071000	 .159122	 .058871	 .005779	 .000541	 .020803	 .000900	 .000175	 .000836	 .051069	 .000024	 .011071	 .043341	 .576170	 .000083	608	"GaN"
"Un    3  D2893_100nA_30um_3"	       3	       0	 .020091	 .354650	 22.1420	 7.87000	 1.01500	 .083000	 5.75600	 .245000	 .045000	 .162000	 10.1410	 .012000	 1.26100	 5.21900	 45.6743	 100.000	 .000000	 .000000	 .000000	 .000290	 .071013	 .159121	 .058871	 .005778	 .000541	 .020803	 .000900	 .000175	 .000836	 .051068	 .000024	 .011071	 .043340	 .576170	 .000081	608	"GaN"
"Un    4  D2893_100nA_30um_4"	       4	       0	 .025823	 .354010	 22.1420	 7.87000	 1.01500	 .083000	 5.75600	 .245000	 .045000	 .162000	 10.1410	 .012000	 1.26100	 5.21900	 45.6692	 100.000	 .000000	 .000000	 .000000	 .000372	 .070893	 .159138	 .058877	 .005779	 .000541	 .020805	 .000900	 .000175	 .000836	 .051074	 .000024	 .011072	 .043345	 .576169	 .000104	608	"GaN"
"Un    5  D2893_100nA_30um_5"	       5	       0	 .016413	 .355062	 22.1420	 7.87000	 1.01500	 .083000	 5.75600	 .245000	 .045000	 .162000	 10.1410	 .012000	 1.26100	 5.21900	 45.6775	 100.000	 .000000	 .000000	 .000000	 .000236	 .071091	 .159109	 .058867	 .005778	 .000541	 .020801	 .000900	 .000175	 .000836	 .051065	 .000024	 .011070	 .043337	 .576170	 .000066	608	"GaN"
"Un    6  D2893_50nA_20um_1"	       6	       0	 .036125	 .352856	 22.1420	 7.87000	 1.01500	 .083000	 5.75600	 .245000	 .045000	 .162000	 10.1410	 .012000	 1.26100	 5.21900	 45.6600	 100.000	 .000000	 .000000	 .000000	 .000521	 .070676	 .159170	 .058889	 .005780	 .000541	 .020809	 .000900	 .000175	 .000836	 .051084	 .000024	 .011074	 .043354	 .576168	 .000145	608	"GaN"
"Un    7  D2893_50nA_20um_146.6_180s_1"	       7	       0	 .016851	 .355013	 22.1420	 7.87000	 1.01500	 .083000	 5.75600	 .245000	 .045000	 .162000	 10.1410	 .012000	 1.26100	 5.21900	 45.6771	 100.000	 .000000	 .000000	 .000000	 .000243	 .071081	 .159111	 .058867	 .005778	 .000541	 .020801	 .000900	 .000175	 .000836	 .051065	 .000024	 .011070	 .043337	 .576170	 .000068	608	"GaN"
"Un    8  D2893_50nA_20um_146.6_180s_10"	       8	       0	 .022175	 .354418	 22.1420	 7.87000	 1.01500	 .083000	 5.75600	 .245000	 .045000	 .162000	 10.1410	 .012000	 1.26100	 5.21900	 45.6724	 100.000	 .000000	 .000000	 .000000	 .000320	 .070969	 .159127	 .058873	 .005779	 .000541	 .020804	 .000900	 .000175	 .000836	 .051070	 .000024	 .011071	 .043342	 .576170	 .000089	608	"GaN"
"Un    9  D2893_50nA_20um_146.6_180s_2"	       9	       0	 .019624	 .354704	 22.1420	 7.87000	 1.01500	 .083000	 5.75600	 .245000	 .045000	 .162000	 10.1410	 .012000	 1.26100	 5.21900	 45.6747	 100.000	 .000000	 .000000	 .000000	 .000283	 .071023	 .159119	 .058870	 .005778	 .000541	 .020803	 .000900	 .000175	 .000836	 .051068	 .000024	 .011071	 .043340	 .576170	 .000079	608	"GaN"
"Un   10  D2893_50nA_20um_146.6_180s_3"	      10	       0	 .018298	 .354852	 22.1420	 7.87000	 1.01500	 .083000	 5.75600	 .245000	 .045000	 .162000	 10.1410	 .012000	 1.26100	 5.21900	 45.6759	 100.000	 .000000	 .000000	 .000000	 .000264	 .071051	 .159115	 .058869	 .005778	 .000541	 .020802	 .000900	 .000175	 .000836	 .051067	 .000024	 .011070	 .043339	 .576170	 .000074	608	"GaN"
"Un   11  D2893_50nA_20um_146.6_180s_4"	      11	       0	 .017640	 .354925	 22.1420	 7.87000	 1.01500	 .083000	 5.75600	 .245000	 .045000	 .162000	 10.1410	 .012000	 1.26100	 5.21900	 45.6764	 100.000	 .000000	 .000000	 .000000	 .000254	 .071065	 .159113	 .058868	 .005778	 .000541	 .020802	 .000900	 .000175	 .000836	 .051066	 .000024	 .011070	 .043338	 .576170	 .000071	608	"GaN"
"Un   12  D2893_50nA_20um_146.6_180s_5"	      12	       0	 .017890	 .354897	 22.1420	 7.87000	 1.01500	 .083000	 5.75600	 .245000	 .045000	 .162000	 10.1410	 .012000	 1.26100	 5.21900	 45.6762	 100.000	 .000000	 .000000	 .000000	 .000258	 .071060	 .159114	 .058868	 .005778	 .000541	 .020802	 .000900	 .000175	 .000836	 .051066	 .000024	 .011070	 .043338	 .576170	 .000072	608	"GaN"
"Un   13  D2893_50nA_20um_146.6_180s_6"	      13	       0	 .018171	 .354865	 22.1420	 7.87000	 1.01500	 .083000	 5.75600	 .245000	 .045000	 .162000	 10.1410	 .012000	 1.26100	 5.21900	 45.6760	 100.000	 .000000	 .000000	 .000000	 .000262	 .071054	 .159115	 .058869	 .005778	 .000541	 .020802	 .000900	 .000175	 .000836	 .051067	 .000024	 .011070	 .043339	 .576170	 .000073	608	"GaN"
"Un   14  D2893_50nA_20um_146.6_180s_7"	      14	       0	 .015444	 .355170	 22.1420	 7.87000	 1.01500	 .083000	 5.75600	 .245000	 .045000	 .162000	 10.1410	 .012000	 1.26100	 5.21900	 45.6784	 100.000	 .000000	 .000000	 .000000	 .000223	 .071111	 .159106	 .058866	 .005778	 .000541	 .020801	 .000900	 .000175	 .000836	 .051064	 .000024	 .011070	 .043336	 .576171	 .000062	608	"GaN"
"Un   15  D2893_50nA_20um_146.6_180s_8"	      15	       0	 .016526	 .355049	 22.1420	 7.87000	 1.01500	 .083000	 5.75600	 .245000	 .045000	 .162000	 10.1410	 .012000	 1.26100	 5.21900	 45.6774	100.0000	 .000000	 .000000	 .000000	 .000238	 .071088	 .159110	 .058867	 .005778	 .000541	 .020801	 .000900	 .000175	 .000836	 .051065	 .000024	 .011070	 .043337	 .576170	 .000067	608	"GaN"
"Un   16  D2893_50nA_20um_146.6_180s_9"	      16	       0	 .017577	 .354932	 22.1420	 7.87000	 1.01500	 .083000	 5.75600	 .245000	 .045000	 .162000	 10.1410	 .012000	 1.26100	 5.21900	 45.6765	 100.000	 .000000	 .000000	 .000000	 .000253	 .071066	 .159113	 .058868	 .005778	 .000541	 .020802	 .000900	 .000175	 .000836	 .051066	 .000024	 .011070	 .043338	 .576170	 .000071	608	"GaN"
"Un   17  D2893_50nA_20um_2"	      17	       0	 .034486	 .353040	 22.1420	 7.87000	 1.01500	 .083000	 5.75600	 .245000	 .045000	 .162000	 10.1410	 .012000	 1.26100	 5.21900	 45.6615	 100.000	 .000000	 .000000	 .000000	 .000497	 .070710	 .159164	 .058887	 .005780	 .000541	 .020808	 .000900	 .000175	 .000836	 .051082	 .000024	 .011074	 .043352	 .576168	 .000139	608	"GaN"
"Un   18  D2893_50nA_20um_3"	      18	       0	 .039784	 .352447	 22.1420	 7.87000	 1.01500	 .083000	 5.75600	 .245000	 .045000	 .162000	 10.1410	 .012000	 1.26100	 5.21900	 45.6568	 100.000	 .000000	 .000000	 .000000	 .000573	 .070599	 .159181	 .058893	 .005781	 .000541	 .020811	 .000900	 .000175	 .000837	 .051088	 .000024	 .011075	 .043357	 .576167	 .000160	608	"GaN"
"Un   19  D2893_50nA_20um_4"	      19	       0	 .031685	 .353354	 22.1420	 7.87000	 1.01500	 .083000	 5.75600	 .245000	 .045000	 .162000	 10.1410	 .012000	 1.26100	 5.21900	 45.6640	 100.000	 .000000	 .000000	 .000000	 .000457	 .070769	 .159156	 .058884	 .005780	 .000541	 .020807	 .000900	 .000175	 .000836	 .051080	 .000024	 .011073	 .043350	 .576168	 .000128	608	"GaN"
"Un   20  D2893_50nA_20um_5"	      20	       0	 .032721	 .353238	 22.1420	 7.87000	 1.01500	 .083000	 5.75600	 .245000	 .045000	 .162000	 10.1410	 .012000	 1.26100	 5.21900	 45.6631	 100.000	 .000000	 .000000	 .000000	 .000472	 .070747	 .159159	 .058885	 .005780	 .000541	 .020808	 .000900	 .000175	 .000836	 .051081	 .000024	 .011073	 .043351	 .576168	 .000132	608	"GaN"
"Un   21  D2893_50nA_20um_6"	      21	       0	 .035320	 .352947	 22.1420	 7.87000	 1.01500	 .083000	 5.75600	 .245000	 .045000	 .162000	 10.1410	 .012000	 1.26100	 5.21900	 45.6607	 100.000	 .000000	 .000000	 .000000	 .000509	 .070693	 .159167	 .058888	 .005780	 .000541	 .020809	 .000900	 .000175	 .000836	 .051083	 .000024	 .011074	 .043353	 .576168	 .000142	608	"GaN"
